RecordKey;ItemCode;BarCode;ForceSelectionOfSerialNumber;ForeignName;GLMethod;InventoryItem;IsPhantom;IssueMethod;SalesUnit;ItemName;ItemsGroupCode;ManageStockByWarehouse;PlanningSystem;SWW;U_APOLLO_SEG1;U_APOLLO_SEG2;U_APOLLO_SSEG3;U_APOLLO_SEG3;U_APOLLO_SEASON;U_APOLLO_APPGRP;U_APOLLO_SSEG3VO;U_APOLLO_ACT;U_MARCA;U_EVD;U_MATERIAL;U_ESTILO;U_SUBGRUPO1;U_APOLLO_COO;U_GSP_TPVACTIVE;AvgStdPrice;U_APOLLO_DIV;U_IDDiseno;U_IDCopa;U_FILA;U_APOLLO_S_GROUP;U_GSP_SECTION
RecordKey;ItemCode;BarCode;ForceSelectionOfSerialNumber;ForeignName;GLMethod;InventoryItem;IsPhantom;IssueMethod;SalUnitMsr;ItemName;ItemsGroupCode;ManageStockByWarehouse;PlanningSystem;SWW;U_APOLLO_SEG1;U_APOLLO_SEG2;U_APOLLO_SSEG3;U_APOLLO_SEG3;U_APOLLO_SEASON;U_APOLLO_APPGRP;U_APOLLO_SSEG3VO;U_APOLLO_ACT;U_MARCA;U_EVD;U_MATERIAL;U_ESTILO;U_SUBGRUPO1;U_APOLLO_COO;U_GSP_TPVACTIVE;AvgPrice;U_APOLLO_DIV;U_IDDiseno;U_IDCopa;U_FILA;U_APOLLO_S_GROUP;U_GSP_SECTION
1;50.521-BLAB-32;7,80001E+12;tNO;liso;C;tYES;tNO;M;1;50.521-SOSTEN SOFT MICROFIBRA;106;tYES;M;SOSTEN;50.521;BLANCO;32;T05;25;1;1;Y;KAYSER;TODA TEMPORADA;MICROFIBRA;MUJER;CORSETERIA;90% POLYAMIDA 10% ELASTANO;Y;;2;;;UNITARIO;INV18;
2;50.521-BLAB-34;7,80001E+12;tNO;liso;C;tYES;tNO;M;1;50.521-SOSTEN SOFT MICROFIBRA;106;tYES;M;SOSTEN;50.521;BLANCO;34;T05;25;1;2;Y;KAYSER;TODA TEMPORADA;MICROFIBRA;MUJER;CORSETERIA;90% POLYAMIDA 10% ELASTANO;Y;;2;;;UNITARIO;INV18;
3;50.521-BLAB-36;7,80001E+12;tNO;liso;C;tYES;tNO;M;1;50.521-SOSTEN SOFT MICROFIBRA;106;tYES;M;SOSTEN;50.521;BLANCO;36;T05;25;1;3;Y;KAYSER;TODA TEMPORADA;MICROFIBRA;MUJER;CORSETERIA;90% POLYAMIDA 10% ELASTANO;Y;;2;;;UNITARIO;INV18;
4;50.521-BLAB-38;7,80001E+12;tNO;liso;C;tYES;tNO;M;1;50.521-SOSTEN SOFT MICROFIBRA;106;tYES;M;SOSTEN;50.521;BLANCO;38;T05;25;1;4;Y;KAYSER;TODA TEMPORADA;MICROFIBRA;MUJER;CORSETERIA;90% POLYAMIDA 10% ELASTANO;Y;;2;;;UNITARIO;INV18;
5;50.521-BLAB-40;7,80001E+12;tNO;liso;C;tYES;tNO;M;1;50.521-SOSTEN SOFT MICROFIBRA;106;tYES;M;SOSTEN;50.521;BLANCO;40;T05;25;1;5;Y;KAYSER;TODA TEMPORADA;MICROFIBRA;MUJER;CORSETERIA;90% POLYAMIDA 10% ELASTANO;Y;;2;;;UNITARIO;INV18;
6;50.521-BLAB-42;7,80001E+12;tNO;liso;C;tYES;tNO;M;1;50.521-SOSTEN SOFT MICROFIBRA;106;tYES;M;SOSTEN;50.521;BLANCO;42;T05;25;1;6;Y;KAYSER;TODA TEMPORADA;MICROFIBRA;MUJER;CORSETERIA;90% POLYAMIDA 10% ELASTANO;Y;;2;;;UNITARIO;INV18;
7;50.521-NEGB-32;7,80001E+12;tNO;liso;C;tYES;tNO;M;1;50.521-SOSTEN SOFT MICROFIBRA;106;tYES;M;SOSTEN;50.521;NEGRO;32;T05;25;1;1;Y;KAYSER;TODA TEMPORADA;MICROFIBRA;MUJER;CORSETERIA;90% POLYAMIDA 10% ELASTANO;Y;;2;;;UNITARIO;INV18;
8;50.521-NEGB-34;7,80001E+12;tNO;liso;C;tYES;tNO;M;1;50.521-SOSTEN SOFT MICROFIBRA;106;tYES;M;SOSTEN;50.521;NEGRO;34;T05;25;1;2;Y;KAYSER;TODA TEMPORADA;MICROFIBRA;MUJER;CORSETERIA;90% POLYAMIDA 10% ELASTANO;Y;;2;;;UNITARIO;INV18;
9;50.521-NEGB-36;7,80001E+12;tNO;liso;C;tYES;tNO;M;1;50.521-SOSTEN SOFT MICROFIBRA;106;tYES;M;SOSTEN;50.521;NEGRO;36;T05;25;1;3;Y;KAYSER;TODA TEMPORADA;MICROFIBRA;MUJER;CORSETERIA;90% POLYAMIDA 10% ELASTANO;Y;;2;;;UNITARIO;INV18;
