IdArticulo;NomArticulo;Cantidad;
10.034-BLA-L;278;228;
10.034-BLA-M;158;108;
10.034-BLA-XL;175;125;
10.034-NEG-L;367;317;
10.034-NEG-M;269;219;
10.034-NEG-XL;187;137;
10.034-TOS-L;318;268;
10.034-TOS-M;124;74;
10.034-TOS-XL;201;151;
10.07-AZU-L;1446;1396;
10.07-AZU-M;584;534;
10.07-AZU-S;208;158;
10.07-AZU-XL;1317;1267;
10.07-BCO-L;2548;2498;
10.07-BCO-M;1062;1012;
10.07-BCO-S;872;822;
10.07-BCO-XL;3194;3144;
10.07-BEI-L;4747;4697;
10.07-BEI-M;1113;1063;
10.07-BEI-S;1132;1082;
10.07-BEI-XL;3728;3678;
10.07-NEG-L;4115;4065;
10.07-NEG-M;1480;1430;
10.07-NEG-S;940;890;
10.07-NEG-XL;3197;3147;
10.09-BCO-L;2401;2351;
10.09-BCO-M;2160;2110;
10.09-BEI-L;697;647;
10.09-BEI-M;508;458;
10.09-BEI-S;347;297;
10.09-BEI-XL;682;632;
10.09-NEG-L;743;693;
10.09-NEG-M;827;777;
10.09-NEG-S;399;349;
10.105-BCO-L;6907;6857;
10.105-BCO-M;324;274;
10.105-BCO-XL;3056;3006;
10.105-NEG-L;304;254;
10.105-NEG-XL;782;732;
10.108-BEI-L;2167;2117;
10.108-BEI-M;2698;2648;
10.108-BEI-S;1760;1710;
10.108-BLA-L;899;849;
10.108-BLA-M;1415;1365;
10.108-BLA-S;660;610;
10.108-NEG-M;1286;1236;
10.108-NEG-S;600;550;
10.142-BEI-L;1393;1343;
10.142-BEI-XL;1502;1452;
10.142-BLA-L;1650;1600;
10.142-BLA-XL;4066;4016;
10.142-NEG-L;1118;1068;
10.15-BCO-L;8367;8317;
10.15-BCO-XL;5775;5725;
10.15-BEI-L;2391;2341;
10.15-BEI-XL;1984;1934;
10.15-NEG-L;695;645;
10.182-BLA-L;352;302;
10.182-BLA-M;143;93;
10.182-BLA-XL;4362;4312;
10.182-NEG-L;2436;2386;
10.182-NEG-M;2799;2749;
10.182-NEG-XL;3998;3948;
10.184-BLA-L;1264;1214;
10.184-BLA-M;308;258;
10.186-BEI-L;4413;4363;
10.186-BEI-M;3198;3148;
10.186-BEI-XL;3525;3475;
10.186-BLA-L;6457;6407;
10.186-BLA-M;1470;1420;
10.186-BLA-XL;2155;2105;
10.186-NEG-L;2209;2159;
10.186-NEG-M;1057;1007;
10.186-NEG-XL;1458;1408;
10.504-BEI-L;4382;4332;
10.504-BEI-M;4215;4165;
10.504-BEI-XL;4286;4236;
10.504-BLA-L;4344;4294;
10.504-BLA-M;4028;3978;
10.504-BLA-XL;4978;4928;
10.504-NEG-L;2723;2673;
10.504-NEG-M;2159;2109;
10.504-NEG-XL;1223;1173;
10.950-MOC-L;219;169;
10.950-MOC-M;52;2;
10.950-MOC-XL;350;300;
10.950-PET-L;1754;1704;
10.950-PET-M;1463;1413;
10.950-PET-XL;1783;1733;
101.00-BLA-UNI;565;515;
101.00-NAT-UNI;4057;4007;
101.00-NEG-UNI;4137;4087;
101.02-COG-2;1040;990;
101.02-COG-3;2717;2667;
101.02-COG-4;446;396;
101.02-GRA-2;1173;1123;
101.02-GRA-3;2078;2028;
101.02-GRA-4;75;25;
101.02-NAT-3;531;481;
101.02-NEG-2;567;517;
101.02-NEG-3;1862;1812;
101.02-NEG-4;102;52;
101.05-GRA-2;98;48;
101.05-GRA-3;696;646;
101.07-GRA-UNI;3362;3312;
101.07-NAT-UNI;4019;3969;
101.07-NEG-UNI;4155;4105;
101.08-GRA-2;1196;1146;
101.08-GRA-3;1839;1789;
101.08-GRA-4;266;216;
101.08-NAT-2;1428;1378;
101.08-NAT-3;2352;2302;
101.08-NAT-4;371;321;
101.08-NEG-2;579;529;
101.08-NEG-3;731;681;
101.10-GRI-2;1452;1402;
101.10-GRI-3;2239;2189;
101.10-GRI-4;266;216;
101.10-NEG-2;1259;1209;
101.10-NEG-3;2025;1975;
