IdArticulo;Cantidad;
10.07-BCO-L;1000;
10.07-BCO-M;1000;
10.07-BCO-S;1000;
10.07-BCO-XL;1000;
10.07-BEI-L;1000;
10.07-BEI-M;1000;
10.07-BEI-S;1000;
10.07-BEI-XL;1000;
10.07-NEG-L;277;
10.07-NEG-M;220;
10.09-BCO-L;1000;
10.09-BCO-M;1000;
10.105-BCO-L;1000;
10.105-BCO-M;1000;
10.105-BCO-XL;1000;
10.105-NEG-L;1000;
10.105-NEG-M;1000;
10.105-NEG-XL;1000;
10.108-BEI-L;1000;
10.108-BEI-M;1000;
10.108-BEI-S;254;
10.108-BEI-XL;701;
10.128-BEI-L;1000;
10.128-BEI-M;510;
10.128-BEI-XL;1000;
10.128-NEG-L;330;
10.142-BLA-L;486;
10.142-BLA-XL;1000;
10.15-BCO-L;1000;
10.15-BCO-M;1000;
10.15-BCO-XL;1000;
10.15-BEI-L;1000;
10.15-BEI-M;1000;
10.15-BEI-XL;1000;
10.182-BLA-L;1000;
10.182-BLA-M;1000;
10.182-BLA-XL;1000;
10.182-NEG-L;1000;
10.182-NEG-M;1000;
10.182-NEG-XL;1000;
10.184-BEI-L;270;
10.184-BEI-M;270;
10.184-BLA-L;1000;
10.184-BLA-M;1000;
10.184-BLA-XL;570;
10.186-BEI-L;1000;
10.186-BEI-M;1000;
10.186-BEI-XL;1000;
10.186-BLA-L;1000;
10.186-BLA-M;736;
10.186-BLA-XL;1000;
10.186-NEG-L;1000;
10.186-NEG-M;435;
10.186-NEG-XL;778;
10.504-BEI-L;1000;
10.504-BEI-M;1000;
10.504-BEI-XL;1000;
10.504-BLA-L;1000;
10.504-BLA-M;1000;
10.504-BLA-XL;1000;
10.504-NEG-L;1000;
10.504-NEG-M;962;
10.950-PET-L;719;
10.950-PET-XL;450;
101.00-NAT-UNI;1000;
101.00-NEG-UNI;1000;
101.02-COG-2;134;
101.02-COG-3;1000;
101.02-GRA-2;138;
101.02-GRA-3;474;
101.02-NEG-3;810;
101.07-GRA-UNI;690;
101.07-NAT-UNI;1000;
101.07-NEG-UNI;1000;
101.08-GRA-2;138;
101.08-GRA-3;474;
101.08-NAT-2;138;
101.08-NAT-3;474;
101.10-GRI-2;634;
101.10-GRI-3;1000;
101.10-NEG-2;634;
101.10-NEG-3;1000;
101.11-GRI-2;306;
101.11-GRI-3;1000;
101.11-NAT-2;306;
101.11-NAT-3;1000;
101.11-NEG-2;306;
101.11-NEG-3;810;
101.12-GRI-2;802;
101.12-GRI-3;1000;
101.12-NEG-2;298;
101.12-NEG-3;1000;
101.26-BUR-UNI;810;
101.26-CHO-UNI;720;
101.26-GRI-UNI;630;
101.26-NEG-UNI;450;
11.07-BCO-L;1000;
