IdArticulo;Cantidad;
10.034-BLA-L;191;
10.034-BLA-XL;82;
10.034-NEG-L;262;
10.034-NEG-M;152;
10.034-NEG-XL;70;
10.034-TOS-L;321;
10.034-TOS-M;121;
10.034-TOS-XL;165;
10.07-AZU-L;273;
10.07-AZU-XL;373;
10.07-BCO-L;1000;
10.07-BCO-M;1000;
10.07-BCO-S;1000;
10.07-BCO-XL;1000;
10.07-BEI-L;1000;
10.07-BEI-M;1000;
10.07-BEI-S;1000;
10.07-BEI-XL;1000;
10.07-NEG-S;109;
10.07-NEG-XL;12;
10.09-BCO-L;1000;
10.09-BCO-M;1000;
10.09-BCO-XL;79;
10.09-BEI-L;238;
10.09-BEI-M;287;
10.09-BEI-XL;279;
10.09-NEG-L;146;
10.09-NEG-S;76;
10.105-BCO-L;1000;
10.105-BCO-M;1000;
10.105-BCO-XL;1000;
10.105-NEG-L;1000;
10.105-NEG-M;1000;
10.105-NEG-XL;1000;
10.108-BEI-L;166;
10.108-BEI-M;1000;
10.108-BEI-S;605;
10.108-BEI-XL;235;
10.108-BLA-L;414;
10.108-BLA-M;327;
10.108-BLA-S;121;
10.108-BLA-XL;212;
10.108-NEG-L;290;
10.108-NEG-M;317;
10.108-NEG-S;201;
10.108-NEG-XL;183;
10.128-BEI-L;101;
10.128-BEI-XL;131;
10.128-NEG-L;107;
10.128-NEG-M;51;
10.128-NEG-XL;27;
10.142-BEI-L;130;
10.142-BEI-XL;250;
10.142-BLA-L;740;
10.142-BLA-XL;1000;
10.142-NEG-L;65;
10.15-BCO-L;1000;
10.15-BCO-M;1000;
10.15-BCO-XL;1000;
10.15-BEI-L;1000;
10.15-BEI-M;1000;
10.15-BEI-XL;1000;
10.182-BLA-L;1000;
10.182-BLA-M;1000;
10.182-BLA-XL;1000;
10.182-NEG-L;1000;
10.182-NEG-M;1000;
10.182-NEG-XL;1000;
10.184-BEI-L;280;
10.184-BEI-M;274;
10.184-BLA-L;640;
10.184-BLA-M;234;
10.184-BLA-S;111;
10.184-BLA-XL;238;
10.184-NEG-L;500;
10.184-NEG-M;497;
10.186-BEI-L;1000;
10.186-BEI-M;1000;
10.186-BEI-XL;1000;
10.186-BLA-L;1000;
10.186-BLA-M;1000;
10.186-BLA-XL;1000;
10.186-NEG-L;1000;
10.186-NEG-M;748;
10.186-NEG-XL;1000;
10.504-BEI-L;1000;
10.504-BEI-M;1000;
10.504-BEI-XL;1000;
10.504-BLA-L;1000;
10.504-BLA-M;1000;
10.504-BLA-XL;1000;
10.504-NEG-L;1000;
10.504-NEG-M;1000;
10.504-NEG-XL;712;
10.950-PET-L;752;
10.950-PET-M;547;
10.950-PET-XL;859;
101.00-BLA-UNI;483;
101.00-NAT-UNI;1000;
101.00-NEG-UNI;1000;
101.02-COG-2;885;
101.02-COG-3;1000;
101.02-COG-4;264;
101.02-GRA-2;1000;
101.02-GRA-3;1000;
101.02-NAT-3;273;
101.02-NEG-2;368;
101.02-NEG-3;1000;
101.05-GRA-3;501;
101.07-GRA-UNI;1000;
101.07-NAT-UNI;1000;
101.07-NEG-UNI;1000;
101.08-GRA-2;1000;
101.08-GRA-3;1000;
101.08-GRA-4;174;
101.08-NAT-2;1000;
101.08-NAT-3;1000;
101.08-NAT-4;300;
101.08-NEG-2;499;
101.08-NEG-3;600;
101.10-GRI-2;1000;
101.10-GRI-3;1000;
101.10-NEG-2;1000;
101.10-NEG-3;1000;
101.11-GRI-2;892;
101.11-GRI-3;1000;
101.11-NAT-2;822;
101.11-NAT-3;1000;
101.11-NEG-2;659;
101.11-NEG-3;1000;
101.12-GRI-2;1000;
101.12-GRI-3;1000;
101.12-NEG-2;1000;
101.12-NEG-3;1000;
101.26-BUR-UNI;1000;
101.26-CHO-UNI;845;
101.26-GRI-UNI;790;
101.26-NEG-UNI;576;
